hour,P_in_W,P_chem_W,P_heat_W,Ndot_raw_J_per_K_s,Ndot_clamped_J_per_K_s,J_cum_J_per_K,bits_entropy_cum,raw_negative
0,0.0,,,0.0,0.0,0.0,0.0,0
1,0.0,,,0.0,0.0,0.0,0.0,0
2,0.0,,,0.0,0.0,0.0,0.0,0
3,0.0,,,0.0,0.0,0.0,0.0,0
4,0.0,,,0.0,0.0,0.0,0.0,0
5,0.0,,,0.0,0.0,0.0,0.0,0
6,2.6618540345721604e+16,266185403457216.03,2.6352354942264388e+16,1043864327283.2001,1043864327283.2001,3757911578219520.5,3.926797537965363e+38,0
7,2.6618540345721604e+16,266185403457216.03,2.6352354942264388e+16,1043864327283.2001,1043864327283.2001,7515823156439041.0,7.853595075930726e+38,0
8,2.6618540345721604e+16,266185403457216.03,2.6352354942264388e+16,1043864327283.2001,1043864327283.2001,1.1273734734658562e+16,1.178039261389609e+39,0
9,2.6618540345721604e+16,266185403457216.03,2.6352354942264388e+16,1043864327283.2001,1043864327283.2001,1.5031646312878082e+16,1.5707190151861452e+39,0
10,2.6618540345721604e+16,266185403457216.03,2.6352354942264388e+16,1043864327283.2001,1043864327283.2001,1.8789557891097604e+16,1.9633987689826816e+39,0
11,2.6618540345721604e+16,266185403457216.03,2.6352354942264388e+16,1043864327283.2001,1043864327283.2001,2.2547469469317124e+16,2.356078522779218e+39,0
12,2.6618540345721604e+16,266185403457216.03,2.6352354942264388e+16,1043864327283.2001,1043864327283.2001,2.6305381047536644e+16,2.748758276575754e+39,0
13,2.6618540345721604e+16,266185403457216.03,2.6352354942264388e+16,1043864327283.2001,1043864327283.2001,3.0063292625756164e+16,3.1414380303722905e+39,0
14,2.6618540345721604e+16,266185403457216.03,2.6352354942264388e+16,1043864327283.2001,1043864327283.2001,3.3821204203975684e+16,3.534117784168827e+39,0
15,2.6618540345721604e+16,266185403457216.03,2.6352354942264388e+16,1043864327283.2001,1043864327283.2001,3.757911578219521e+16,3.926797537965363e+39,0
16,2.6618540345721604e+16,266185403457216.03,2.6352354942264388e+16,1043864327283.2001,1043864327283.2001,4.133702736041473e+16,4.3194772917618994e+39,0
17,2.6618540345721604e+16,266185403457216.03,2.6352354942264388e+16,1043864327283.2001,1043864327283.2001,4.509493893863425e+16,4.712157045558436e+39,0
18,0.0,,,0.0,0.0,4.509493893863425e+16,4.712157045558436e+39,0
19,0.0,,,0.0,0.0,4.509493893863425e+16,4.712157045558436e+39,0
20,0.0,,,0.0,0.0,4.509493893863425e+16,4.712157045558436e+39,0
21,0.0,,,0.0,0.0,4.509493893863425e+16,4.712157045558436e+39,0
22,0.0,,,0.0,0.0,4.509493893863425e+16,4.712157045558436e+39,0
23,0.0,,,0.0,0.0,4.509493893863425e+16,4.712157045558436e+39,0
